"descriptive" "source" "short"
"set" "set" "set"
"subject" "subject" "subject"
"activity" "activity" "activity"
"frequencyBodyAccelerometerDefaultFrequencymeanMagnitude" "fBodyAccMag-meanFreq()" "fBADFM"
"frequencyBodyAccelerometerDefaultFrequencymeanX" "fBodyAcc-meanFreq()-X" "fBADFX"
"frequencyBodyAccelerometerDefaultFrequencymeanY" "fBodyAcc-meanFreq()-Y" "fBADFY"
"frequencyBodyAccelerometerDefaultFrequencymeanZ" "fBodyAcc-meanFreq()-Z" "fBADFZ"
"frequencyBodyAccelerometerDefaultMeanMagnitude" "fBodyAccMag-mean()" "fBADMM"
"frequencyBodyAccelerometerDefaultMeanX" "fBodyAcc-mean()-X" "fBADMX"
"frequencyBodyAccelerometerDefaultMeanY" "fBodyAcc-mean()-Y" "fBADMY"
"frequencyBodyAccelerometerDefaultMeanZ" "fBodyAcc-mean()-Z" "fBADMZ"
"frequencyBodyAccelerometerDefaultStdMagnitude" "fBodyAccMag-std()" "fBADSM"
"frequencyBodyAccelerometerDefaultStdX" "fBodyAcc-std()-X" "fBADSX"
"frequencyBodyAccelerometerDefaultStdY" "fBodyAcc-std()-Y" "fBADSY"
"frequencyBodyAccelerometerDefaultStdZ" "fBodyAcc-std()-Z" "fBADSZ"
"frequencyBodyAccelerometerJerkFrequencymeanMagnitude" "fBodyBodyAccJerkMag-meanFreq()" "fBAJFM"
"frequencyBodyAccelerometerJerkFrequencymeanX" "fBodyAccJerk-meanFreq()-X" "fBAJFX"
"frequencyBodyAccelerometerJerkFrequencymeanY" "fBodyAccJerk-meanFreq()-Y" "fBAJFY"
"frequencyBodyAccelerometerJerkFrequencymeanZ" "fBodyAccJerk-meanFreq()-Z" "fBAJFZ"
"frequencyBodyAccelerometerJerkMeanMagnitude" "fBodyBodyAccJerkMag-mean()" "fBAJMM"
"frequencyBodyAccelerometerJerkMeanX" "fBodyAccJerk-mean()-X" "fBAJMX"
"frequencyBodyAccelerometerJerkMeanY" "fBodyAccJerk-mean()-Y" "fBAJMY"
"frequencyBodyAccelerometerJerkMeanZ" "fBodyAccJerk-mean()-Z" "fBAJMZ"
"frequencyBodyAccelerometerJerkStdMagnitude" "fBodyBodyAccJerkMag-std()" "fBAJSM"
"frequencyBodyAccelerometerJerkStdX" "fBodyAccJerk-std()-X" "fBAJSX"
"frequencyBodyAccelerometerJerkStdY" "fBodyAccJerk-std()-Y" "fBAJSY"
"frequencyBodyAccelerometerJerkStdZ" "fBodyAccJerk-std()-Z" "fBAJSZ"
"frequencyBodyGyroscopeDefaultFrequencymeanMagnitude" "fBodyBodyGyroMag-meanFreq()" "fBGDFM"
"frequencyBodyGyroscopeDefaultFrequencymeanX" "fBodyGyro-meanFreq()-X" "fBGDFX"
"frequencyBodyGyroscopeDefaultFrequencymeanY" "fBodyGyro-meanFreq()-Y" "fBGDFY"
"frequencyBodyGyroscopeDefaultFrequencymeanZ" "fBodyGyro-meanFreq()-Z" "fBGDFZ"
"frequencyBodyGyroscopeDefaultMeanMagnitude" "fBodyBodyGyroMag-mean()" "fBGDMM"
"frequencyBodyGyroscopeDefaultMeanX" "fBodyGyro-mean()-X" "fBGDMX"
"frequencyBodyGyroscopeDefaultMeanY" "fBodyGyro-mean()-Y" "fBGDMY"
"frequencyBodyGyroscopeDefaultMeanZ" "fBodyGyro-mean()-Z" "fBGDMZ"
"frequencyBodyGyroscopeDefaultStdMagnitude" "fBodyBodyGyroMag-std()" "fBGDSM"
"frequencyBodyGyroscopeDefaultStdX" "fBodyGyro-std()-X" "fBGDSX"
"frequencyBodyGyroscopeDefaultStdY" "fBodyGyro-std()-Y" "fBGDSY"
"frequencyBodyGyroscopeDefaultStdZ" "fBodyGyro-std()-Z" "fBGDSZ"
"frequencyBodyGyroscopeJerkFrequencymeanMagnitude" "fBodyBodyGyroJerkMag-meanFreq()" "fBGJFM"
"frequencyBodyGyroscopeJerkMeanMagnitude" "fBodyBodyGyroJerkMag-mean()" "fBGJMM"
"frequencyBodyGyroscopeJerkStdMagnitude" "fBodyBodyGyroJerkMag-std()" "fBGJSM"
"timeBodyAccelerometerDefaultMeanMagnitude" "tBodyAccMag-mean()" "tBADMM"
"timeBodyAccelerometerDefaultMeanX" "tBodyAcc-mean()-X" "tBADMX"
"timeBodyAccelerometerDefaultMeanY" "tBodyAcc-mean()-Y" "tBADMY"
"timeBodyAccelerometerDefaultMeanZ" "tBodyAcc-mean()-Z" "tBADMZ"
"timeBodyAccelerometerDefaultStdMagnitude" "tBodyAccMag-std()" "tBADSM"
"timeBodyAccelerometerDefaultStdX" "tBodyAcc-std()-X" "tBADSX"
"timeBodyAccelerometerDefaultStdY" "tBodyAcc-std()-Y" "tBADSY"
"timeBodyAccelerometerDefaultStdZ" "tBodyAcc-std()-Z" "tBADSZ"
"timeBodyAccelerometerJerkMeanMagnitude" "tBodyAccJerkMag-mean()" "tBAJMM"
"timeBodyAccelerometerJerkMeanX" "tBodyAccJerk-mean()-X" "tBAJMX"
"timeBodyAccelerometerJerkMeanY" "tBodyAccJerk-mean()-Y" "tBAJMY"
"timeBodyAccelerometerJerkMeanZ" "tBodyAccJerk-mean()-Z" "tBAJMZ"
"timeBodyAccelerometerJerkStdMagnitude" "tBodyAccJerkMag-std()" "tBAJSM"
"timeBodyAccelerometerJerkStdX" "tBodyAccJerk-std()-X" "tBAJSX"
"timeBodyAccelerometerJerkStdY" "tBodyAccJerk-std()-Y" "tBAJSY"
"timeBodyAccelerometerJerkStdZ" "tBodyAccJerk-std()-Z" "tBAJSZ"
"timeBodyGyroscopeDefaultMeanMagnitude" "tBodyGyroMag-mean()" "tBGDMM"
"timeBodyGyroscopeDefaultMeanX" "tBodyGyro-mean()-X" "tBGDMX"
"timeBodyGyroscopeDefaultMeanY" "tBodyGyro-mean()-Y" "tBGDMY"
"timeBodyGyroscopeDefaultMeanZ" "tBodyGyro-mean()-Z" "tBGDMZ"
"timeBodyGyroscopeDefaultStdMagnitude" "tBodyGyroMag-std()" "tBGDSM"
"timeBodyGyroscopeDefaultStdX" "tBodyGyro-std()-X" "tBGDSX"
"timeBodyGyroscopeDefaultStdY" "tBodyGyro-std()-Y" "tBGDSY"
"timeBodyGyroscopeDefaultStdZ" "tBodyGyro-std()-Z" "tBGDSZ"
"timeBodyGyroscopeJerkMeanMagnitude" "tBodyGyroJerkMag-mean()" "tBGJMM"
"timeBodyGyroscopeJerkMeanX" "tBodyGyroJerk-mean()-X" "tBGJMX"
"timeBodyGyroscopeJerkMeanY" "tBodyGyroJerk-mean()-Y" "tBGJMY"
"timeBodyGyroscopeJerkMeanZ" "tBodyGyroJerk-mean()-Z" "tBGJMZ"
"timeBodyGyroscopeJerkStdMagnitude" "tBodyGyroJerkMag-std()" "tBGJSM"
"timeBodyGyroscopeJerkStdX" "tBodyGyroJerk-std()-X" "tBGJSX"
"timeBodyGyroscopeJerkStdY" "tBodyGyroJerk-std()-Y" "tBGJSY"
"timeBodyGyroscopeJerkStdZ" "tBodyGyroJerk-std()-Z" "tBGJSZ"
"timeGravityAccelerometerDefaultMeanMagnitude" "tGravityAccMag-mean()" "tGADMM"
"timeGravityAccelerometerDefaultMeanX" "tGravityAcc-mean()-X" "tGADMX"
"timeGravityAccelerometerDefaultMeanY" "tGravityAcc-mean()-Y" "tGADMY"
"timeGravityAccelerometerDefaultMeanZ" "tGravityAcc-mean()-Z" "tGADMZ"
"timeGravityAccelerometerDefaultStdMagnitude" "tGravityAccMag-std()" "tGADSM"
"timeGravityAccelerometerDefaultStdX" "tGravityAcc-std()-X" "tGADSX"
"timeGravityAccelerometerDefaultStdY" "tGravityAcc-std()-Y" "tGADSY"
"timeGravityAccelerometerDefaultStdZ" "tGravityAcc-std()-Z" "tGADSZ"
